company_name,sector,industry,market_cap,business_summary,risks,strategy
CH. Karnchang Public Company Limited,Industrials,Engineering & Construction,20836409344,"CH. Karnchang Public Company Limited, together with its subsidiaries, provides construction services in Thailand and the Lao People's Democratic Republic. It operates through Construction and Related Service; and Investment in Infrastructure Business segments. The company engages in the construction of mass rapid transit systems, airports, roads and expressways, energy projects, water supply and harbor projects, and buildings. It also invests in infrastructure project development business; and sells construction materials. The company serves government agencies and private customers. CH. Karnchang Public Company Limited was founded in 1972 and is based in Bangkok, Thailand.",,
BCPG Public Company Limited,Utilities,Utilities - Renewable,20670740480,"BCPG Public Company Limited, a renewable energy company, engages in the solar power, hydropower, wind power, and natural gas businesses in Thailand, Japan, Laos, Taiwan, Vietnam, the Philippines, and the United States. It operates through Production and Distribution of Electricity; and Oil Storage and Seaport Service segments. The company offers smart energy solutions, including blockchain-based peer-to-peer energy trading project; energy management system; district cooling system; battery; and decarbonization solutions. It also develops transmission line system and oil terminal. In addition, the company operates as an EPC contractor that provides operation and maintenance services. Further, it provides project development, construction, and operation management; investment management; and asset management services. The company was incorporated in 2015 and is headquartered in Bangkok, Thailand. BCPG Public Company Limited is a subsidiary of Bangchak Corporation Public Company Limited.",,
Energy Absolute Public Company Limited,Utilities,Utilities - Renewable,19309680640,"Energy Absolute Public Company Limited, together with its subsidiaries, engages in the manufacture and distribution of crude palm oil, biodiesel, and glycerol products in Thailand. The company provides phase change materials, as well as electric bus, car, and ferry. It also produces and distributes solar and wind electric power from renewable energy. In addition, the company is involved in the construction projects consulting; research and development of electricity equipment; hire purchase of electric vehicles; shore tank rental and crude palm oil pipeline transport services; research, development, manufacture, and distribution of lithium-ion batteries for applications, such as electric automobiles and energy storage systems; and operation of charging stations. The company was formerly known as Suntech Palm Oil Ltd. and changed its name to Energy Absolute Public Company Limited in 2008. Energy Absolute Public Company Limited was incorporated in 2006 and is headquartered in Bangkok, Thailand.",,
Amata Corporation Public Company Limited,Real Estate,Real Estate - Development,18744999936,"Amata Corporation Public Company Limited, together with its subsidiaries, engages in industrial estate development in Thailand and internationally. It is also involved in the utility business; service business, such as ready-built factory for rent; logistics and distribution centers; security; maintenance for office and factory, hospital, education, residential and commercial areas; and investment; sale and lease of unit apartments and space rental; operation of restaurant, catering, and project management; development of industrial estate, commercial complex, residential projects, and related services; and production of electricity and steam. In addition, the company engages in the production and sale of water products for use in industries; supply of natural gas and pipeline distribution network; outsource services to the factories in the industrial estate, including plant utilities, operation and maintenance, including building, maintenance, and renovation, as well as housekeeping, security, and landscaping services; and smart city, industrial, and commercial and mixed development and operation business. Further, it offers private education; fiber optic network infrastructure; infrastructure and services to smart factories, and other services related to manufactured products; and engineering consultancy services. Additionally, the company operates as a REIT manager, and operates a utility business in the field of electricity. Amata Corporation Public Company Limited was incorporated in 1989 and is headquartered in Bangkok, Thailand.",,
Plan B Media Public Company Limited,Communication Services,Advertising Agencies,18585128960,"Plan B Media Public Company Limited, together with its subsidiaries, provides advertising media production services in Thailand. The company operates in two segments, Out-of-Home Media and Engagement Marketing. The Out-of-Home Media segment offers advertising media production, advertising space, and airtime rental services. The Engagement Marketing segment provides sports marketing and artist management services. The company also offers out of home advertising and advertising agency services; and develops and manages artists, as well as produces shows and contents for broadcasting. In addition, it holds investments in boxing business; provides online service influencer platform; and offers billboard rental services. The company was incorporated in 2005 and is based in Bangkok, Thailand.",,
CK Power Public Company Limited,Utilities,Utilities - Independent Power Producers,18534991872,"CK Power Public Company Limited, through its subsidiaries, generates and sells electricity and steam in Thailand and Lao People's Democratic Republic. It operates through Generation of Electricity from Hydroelectric Power, Generation of Electricity from Solar Power, Generation of Electricity from Thermal Power, and Other segments. The company operates 3 hydro power plants with a capacity of 3,360 megawatts (MW); 13 solar power plants with a capacity of 42 MW; and 2 cogeneration power plants with installed capacity of 238 MW. It also invests in companies related to the generation of electricity for sales. In addition, the company provides consulting and other services related to electricity generating projects; and project management services. CK Power Public Company Limited was incorporated in 2011 and is based in Bangkok, Thailand.",,
Sri Trang Agro-Industry Public Company Limited,Basic Materials,Specialty Chemicals,18124800000,"Sri Trang Agro-Industry Public Company Limited manufactures and distributes natural rubber products in Thailand, China, the United States, Japan, Korea, India, Germany, and internationally. It operates through three segments: Natural Rubber Products, Gloves, and Other Businesses. The company manufactures, sells, and trades in ribbed smoked sheets, concentrated latex, and block rubbers; powdered and powder-free, and nitrile latex gloves; and processed rubber wood and medical gloves. It also involved in the plantation of rubber, palm, and temperate fruits and economic trees; and manufacturing and sale of escalator handrails, rubber injection-moulded goods, and high-pressure hydraulic hoses. In addition, the company offers engineering services that include research and development of machinery and production processes; information system services; and logistics services and other services. Further, the company provides real estate rental; financial asset management; financial investment; and information technology services. Sri Trang Agro-Industry Public Company Limited was founded in 1987 and is headquartered in Hat Yai, Thailand.",,
WHA Utilities and Power Public Company Limited,Utilities,Utilities - Regulated Water,17900998656,"WHA Utilities and Power Public Company Limited provides utilities and water solutions in Thailand and internationally. It produces and distributes industrial water; and provides waste water treatment and management services to industrial estates. The company engages in the solar power business; investment in water and power businesses; natural gas distribution; and coal, gas, hydro, solar, and alternative power generation. The company was formerly known as Hemaraj Clean Water Company Limited and changed its name to WHA Utilities and Power Public Company Limited in August 2016. WHA Utilities and Power Public Company Limited was founded in 2008 and is headquartered in Samut Prakan, Thailand. The company is a subsidiary of WHA Industrial Development Public Company Limited.",,
Chularat Hospital Public Company Limited,Healthcare,Medical Care Facilities,17050000384,"Chularat Hospital Public Company Limited operates clinics and hospitals in Thailand. The company operates cancer treatment, aesthetic, social security, occupational health examination, and Thai traditional medicine centers, as well as drug auction systems. It also sells medicine and medical supplies. Chularat Hospital Public Company Limited was founded in 1986 is headquartered in Samut Prakan, Thailand.",,
Hana Microelectronics Public Company Limited,Technology,Electronic Components,14431475712,"Hana Microelectronics Public Company Limited, together with its subsidiaries, engages in the manufacture and trading of electronic components. The company provides printed circuit board assemblies, chip-on-board and flex assembly and test, lamination, coil, winding, integrated circuit assemblies and tests, and LED packaging and test services. It also offers electronics manufacturing, and outsourced semiconductor assembly and testing services IC, MEMS, sensors, TO Can, system in packages, optocouplers, and SMT. In addition, the company Liquid Crystal Microdisplays, radio frequency identification RFID devices, SMT and labour intensive microelectronics assemblies, and IC power management silicon and silicon carbide (SiC) wafer devices. It operates in the United States, Singapore, Malaysia, China, Bulgaria, and internationally. The company was founded in 1978 and is headquartered in Bangkok, Thailand.",,
Quality Houses Public Company Limited,Real Estate,Real Estate - Development,14142853120,"Quality Houses Public Company Limited, together with its subsidiaries, engages in the property development business in Thailand. The company operates through four segments: Real Estate Business, Hotel Business, Rental Business, and Others. It develops and sells land and houses and residential condominium units; rents office buildings; and provides services for residential buildings, as well as manages public utilities and real estate business of landowners. The company is also involved in hotel operations; lease of land; management of buildings; and manufacture and distribution of precast concrete. The company was incorporated in 1983 and is headquartered in Bangkok, Thailand.",,
JMT Network Services Public Company Limited,Financial Services,Credit Services,12845708288,"JMT Network Services Public Company Limited, together with its subsidiaries, provides debt tracking and collection services for financial institutions and entrepreneurs in Thailand. It operates through Debt Collection Business; Non-Performing Accounts Receivable Management Business; and Insurance Business segments. The company offers debt collection follow-up services through phone and on the field; and files lawsuits to enforce payment of debt. It also provides distressed debt management, insurance brokerage, asset management, and appraisal services; and is involved in the purchase of non-performing accounts receivable for debts management and collection. In addition, the company offers non-life insurance products comprising motor insurance products; fire insurance products for residential houses, commercial buildings, factories, condominiums, and dormitory buildings; transportation insurance for marine/cargo, inland transit, and carrier liability; and miscellaneous insurance products, such as personal and group accident, travel, all risk, public liability, contract work, theft/professional liability, engineering, billboard, product liability, and statutory liability insurance, as well as insurance for money; and insurance for directors and executive officers of the company. The company was incorporated in 1994 and is based in Bangkok, Thailand. JMT Network Services Public Company Limited is a subsidiary of Jaymart Group Holdings Public Company Limited.",,
SCGJWD Logistics Public Company Limited,Industrials,Integrated Freight & Logistics,12790985728,"SCGJWD Logistics Public Company Limited, together with its subsidiaries, engages in the integrated in-land and oversea logistics business in Thailand, Cambodia, Myanmar, Laos, Vietnam, the Philippines, Malaysia, Singapore, Indonesia, and Southern China. It operates in two segments, Logistics and Supply Chain Business, and Other Businesses. The company offers general and free zone warehouse management; chemical and dangerous goods supply chain management; automotive and auto parts logistics management; food and cold chain management; freight forwarding and supply chain management; and transportation and distribution, and document storage management services. It also provides moving and relocation, self-storage, fine art logistics, and e-commerce fulfillment management services, as well as information technology (IT) solutions for logistics software management; and dry and cold warehousing and inventory management, cross-border transportation, inland transportation and distribution, freight forwarder and customs clearance, container depot and port management, container trucking management, and project cargo logistics services. In addition, the company engages in the provision of buildings, other constructions rental, record and information storage, and related services. Further, it provides yard management; household and office moving services; port services; and packing and handling of goods and cargo container services. The company was formerly known as JWD InfoLogistics Public Company Limited and changed its name to SCGJWD Logistics Public Company Limited in February 2023. SCGJWD Logistics Public Company Limited was founded in 1979 and is headquartered in Bangkok, Thailand.",,
Dohome Public Company Limited,Consumer Cyclical,Home Improvement Retail,12653491200,"Dohome Public Company Limited, together with its subsidiaries, engages in the retailing and wholesaling of construction materials, office equipment, and household products in Thailand. The company offers construction materials products, such as steel sections, skirting boards, cement and other infrastructure products, etc.; repair materials products, including tools agriculture, gardening and plumbing equipment, electric equipment, sanitary equipment, etc.; and decoration materials products comprising electrical appliances, home furniture appliances, home decorations, bedding, gift shops, etc. It is also involved in the production and distribution of electricity; and property investment activities, as well as provides training services. Dohome Public Company Limited was founded in 1983 and is headquartered in Pathum Thani, Thailand.",,
Dhipaya Group Holdings Public Company Limited,Financial Services,Insurance - Diversified,11766987776,"Dhipaya Group Holdings Public Company Limited, through its subsidiaries, provides non-life insurance products in Thailand. The company offers fire insurance products that covers damage from fire, lightning, and cooking gas explosion, as well as floods, earthquakes, hail, and storm; marine insurance products, which covers insured properties against damage or loss of goods, hulls, and transporters' liability during international and/or domestic transits; and motor insurance products that covers damage or loss of insured vehicles due to natural disasters or accidents. It also provides personal accident, travel accident, health, serious illness insurance; money, burglary, machinery, aviation, petrochemical and energy, and all other risk insurance; and professional indemnity and product liability insurance products. In addition, the company offers development, consulting, and software-as-a-service solution for insurance and insurance ecosystem business; investment services; and online and offline training services, as well as operates as a surveyor. Dhipaya Group Holdings Public Company Limited was incorporated in 1951 and is based in Bangkok, Thailand.",,
PTG Energy Public Company Limited,Consumer Cyclical,Specialty Retail,11606499328,"PTG Energy Public Company Limited, together with its subsidiaries, trades in petroleum products, gas products, and supplies and equipment in Thailand. It operates through Sales of Petroleum, Gas Products, and Supplies and Equipment for Oil Service Stations; Sales of Consumable Products; and Transportation Income segments. The company also operates convenience stores under the Max Mart brand; coffee shops under the Punthai Coffee and Coffee World names; ice-cream shops under the Cream & Fudge brand; restaurants under the Thai Chef express name; and sandwich shops under the New York 5th Av. Deli brand. In addition, it is involved in trading of petroleum, LPG, cosmetics, beauty products, cooking gas, medicines, and medicine supplies, as well as engine lubricant under the PT4 Maxnitron brand; production and trading of renewable energy; venture capital investment; treatment and disposal of non-hazardous wastes by biological reduction; development of communication tools equipment in service stations; and manufacture and sale of food, pastries, and beverages. Further, the company provides service stations, car service center, auto repair and maintenance services, membership management services, information technology management, transportation, construction services, and electronic money and card services. The company was formerly known as Paktai Chueplerng Company Limited. PTG Energy Public Company Limited was founded in 1988 and is headquartered in Bangkok, Thailand.",,
The Erawan Group Public Company Limited,Consumer Cyclical,Lodging,11435414528,"The Erawan Group Public Company Limited engages in hotel, and building rental and management businesses primarily in Thailand, Japan, and Philippines. The company operates hotels and resorts under the Grand Hyatt Erawan Bangkok, IBIS, JW Marriott Bangkok, The Naka Island, Courtyard by Marriott Bangkok, Holiday Inn Pattaya, IBIS Styles, Novotel Bangkok Sukhumvit 4, Holiday Inn Cebu City, Mercure Hotels, and HOP INN names. It rents commercial retail property under the name Erawan Bangkok; and manages Ploenchit Center, an office building. In addition, the company is involved in the development and management of properties; and rents shopping plaza. The company was incorporated in 1982 and is headquartered in Bangkok, Thailand.",,
SISB Public Company Limited,Consumer Defensive,Education & Training Services,11280000000,"SISB Public Company Limited provides educational services in Thailand. The company owns and manages Singapore international schools in Thailand, including six campuses that adopt Singapore and the United Kingdom curricula as the foundation for teaching and learning. It also owns and manages three schools in Bangkok; and activities, sports and academies, experiential learning, and community services. SISB Public Company Limited was incorporated in 2001 and is headquartered in Bangkok, Thailand.",,
Ratchthani Leasing Public Company Limited,Financial Services,Credit Services,10839032832,"Ratchthani Leasing Public Company Limited, together with its subsidiary, provides hire-purchase and leasing services in Thailand. The company offers hire purchase loans for new and used cars; refinance and car title loans; financial lease; and loans to car dealership. It also provides auto and property insurance products, as well as annual tax registration, auctions, and truck to you services. The company was founded in 1988 and is headquartered in Bangkok, Thailand. Ratchthani Leasing Public Company Limited is a subsidiary of Thanachart SPV1 Co., Ltd.",,
Precious Shipping Public Company Limited,Industrials,Marine Shipping,10392931328,"Precious Shipping Public Company Limited, a holding company, owns and operates dry bulk ships on a tramp shipping basis in Thailand and internationally. The company involved in the chartering and owning of ships, as well as invests in marine transportation and manages ships. It also owns and operates 40 ships, including 8 Supramax, 8 Ultramax, 20 Handysize, and 4 Cement carriers with a total capacity of 1,737,504 deadweight tons. Precious Shipping Public Company Limited was founded in 1989 and is headquartered in Bangkok, Thailand.",,
Jaymart Group Holdings Public Company Limited,Consumer Cyclical,Specialty Retail,10101403648,"Jaymart Group Holdings Public Company Limited, together with its subsidiaries, engages in the wholesale and retail of mobile phones, accessories, and gadgets in Thailand. The company operates through four segments: Trading Business, Debt Collection Business, Rental Business, and Others. It is also involved in the sales of land and houses and residential condominium; debts management and collection; property development; ecommerce business; distribution of food and beverage; sale of electrical appliances; insurance broker; elderly care school; blockchain business; consulting on business operation related information technology and e-commerce business; operation of electronic network for peer-to-peer lending platform; and provision of finance leasing and consumer lending, digital point collection, and appraisal services. In addition, the company engages in managing of rental spaces in the IT and shopping mall sectors; operation of coffee shop and restaurant under the Casa Lapin and Suki Teenoi brands; and offers J point, a system that allows customer to accumulate points based on spending. Jaymart Group Holdings Public Company Limited was formerly known as Jay Mart Public Company Limited and changed its name to Jaymart Group Holdings Public Company Limited in April 2023. The company was founded in 1988 and is based in Bangkok, Thailand.",,
TQM Alpha Public Company Limited,Financial Services,Insurance Brokers,6768953344,"TQM Alpha Public Company Limited engages in the insurance brokerage business in Thailand. It offers individual and group life insurance products; non-life insurance products comprising motor and non-motor, health, and accident insurance; reinsurance products; and consulting services for insurance claims. The company also provides personal loans; IT and software services; procurement and consulting services for computer software and hardware; and consultation, advice, and services in secured loan. In addition, it manages an online platform for providing insurance broker service to customers. Further, the company provides services as a manager, caregiver, and collect benefits, as well as property management services. Additionally, it operates as a third-party administrator for providing medical claims assessment; and medical benefits administrator that offers clinical benefits navigation, mental health therapy, and virtual primary care. The company was formerly known as TQM Corporation Public Company Limited and changed its name to TQM Alpha Public Company Limited in May 2022. The company was founded in 2011 and is headquartered in Bangkok, Thailand. TQM Alpha Public Company Limited operates as a subsidiary of Eternal Growth Corporation Company Limited.",,
Srinanaporn Marketing Public Company Limited,Consumer Defensive,Packaged Foods,6615037440,"Srinanaporn Marketing Public Company Limited engages in the manufacture and distribution of snacks and beverages in Thailand. The company provides technical and administrative services. It also offers ready to drink jellies and carrageenan jelly products under the Jele, Daiyamoto, Cooly Kool, and Magic Farm brand names; and other beverage products, such as grass jelly in syrup, coconut juice with coconut jelly, and vitamins water under the Magic Farm Fresh and Jele brand names. In addition, the company provides baked squids, squid strips, and fish strips under the Bento brand name; molded snack products and bread sticks under the Dok Bua and Lotus brand names; wafer and biscuit products under the Chocky and Bakery House brand names; mineral water under the AQUAVITZ brand name; and drumstick shape mixed hemp and fruit juice with cannabis water products. Further, it engages in the real estate business. The company offers its products through online. It also exports its products. Srinanaporn Marketing Public Company Limited was founded in 1972 and is headquartered in Bangkok, Thailand.",,
R&B Food Supply Public Company Limited,Consumer Defensive,Packaged Foods,6418439680,"R&B Food Supply Public Company Limited, together with its subsidiaries, manufactures and trades in bread products, colours, fragrances, and chemicals that are used in food, beverage, and consumer product industries in Thailand. The company was founded in 1989 and is headquartered in Bangkok, Thailand.",,
Forth Corporation Public Company Limited,Industrials,Conglomerates,6173473280,"Forth Corporation Public Company Limited, together with its subsidiaries, engages in the manufacture and distribution of electronic equipment in Thailand, Netherlands, United States of America, and internationally. It operates through three segments: Electronics Manufacturing Service Business; Enterprise Solutions Business; and Smart Service Business. It offers Forth Taglock EM, a tracking device made for prisoners; nurse call systems; GPS devices and GPS tracking systems; lighting system solutions; smart traffic light systems; smart grids; multi-service access network telephone exchange equipment; EV charging stations; smart meter systems, including digital meters that show energy/water consumptions digitally, as well as smart software, which pulls data from meters automatically; and small gas station and oil vending machines. The company also provides top-up and payment kiosks; Boonterm Counter Service that has a touch screen with a data acquisition system that helps monitor usage and print receipts backwards; Boonterm water dispensers; automated cup beverage vending machines; smart vending machines; and KODIAK, a high performance aircraft, as well as operates commercial aircraft maintenance center. In addition, it engages in the trading of electronic parts, lamps, and lighting equipment; sale and installation of light boards and traffic systems; provision of consulting service for information management and computer software management, as well as engineering services; sale of aircraft, aircraft hangar and maintenance business, and flight training; electronic commerce business; and turnkey on installation of CCTV. Additionally, the company offers nano finance and personal loan services; and provides services related to airport electrical system and underground power transmission systems. The company was founded in 1989 and is headquartered in Bangkok, Thailand.",,
The ONE Enterprise Public Company Limited,Communication Services,Entertainment,5095875584,"The ONE Enterprise Public Company Limited engages in the media and entertainment businesses in Thailand. The company produces various programs, such as dramas, sitcoms, series, variety shows, and news; manages licensed content by distributing programs through television stations, online channels, and international platforms; and owns copyrights for producing programs in television stations and online platforms. It also acts as a direct marketer for digital television channels; organizes events; and offers public relations materials related to the events. In addition, the company is involved in the production of radio programs for broadcasting through radio and online channels, including websites and applications; artist management business; the sale of merchandising products related to programs or artists; and provision of rental service for filming and hosting events, such as commercial shoots, TV shows, feature films, and weddings. Further, it engages in the digital TV, radio, advertising space rental, sublease of television station, and studio rental activities; production of content and advertising media; sale of goods; and investment in other business. The company was founded in 1991 and is based in Bangkok, Thailand.",,
Major Cineplex Group Public Company Limited,Communication Services,Entertainment,5002260480,"Major Cineplex Group Public Company Limited, together with its subsidiaries, operates as a lifestyle entertainment company primarily in Thailand. It operates through five segments: Cinema Business, Advertising Business, Bowling and Karaoke Business, Rental and Services Business, and Movie Content Business. The company offers theater, foods and drinks, and relevant services; and operates cineplexes under the Major Cineplex, EGV Cinema, Paragon Cineplex, Esplanade Cineplex, Paradise Cineplex, Mega Cineplex, Hat Yai Cineplex, Quartier CineArt, Westgate Cineplex, Cineplex, Icon Cineplex, and Major Cinema brands. It also provides various advertising services, including in-theater and 4D ads. In addition, the company provides bowling services under the Major Bowl Hit and Blu-O Rhythm & Bowl brands; karaoke rooms; and Sub Zero, an ice skate rink. Further, the company offers retail spaces for rent in the cineplexes; produces and distributes films; and distributes VCD/DVD, Blu-ray, and film rights. Major Cineplex Group Public Company Limited was founded in 1995 and is based in Bangkok, Thailand.",,
Beyond Securities Public Company Limited,Financial Services,Capital Markets,2761633024,"Beyond Securities Public Company Limited engages in the securities business in Thailand. It operates through two segments: Securities and Derivatives Business, and Investment Business. The company offers securities brokerage, trading, and underwriting; investment advisory; derivatives brokerage; securities borrowing and lending; and private fund management services. It also provides services securities brokerage services through cash, cash balance, and credit balance accounts; future brokerage services; mutual funds; single stock futures block-trade; debt instruments; securities analysis; and investment banking services. In addition, the company Beyond offshore wealth management; Beyond offshore trading platform; Beyond Global trade, a foreign stock trading platform; LiVE Exchange platform, a stock exchange for SMEs and startups; and Beyond Espresso, Latte and Shakerato, a portfolio advisory solution. The company was formerly known as AEC Securities Public Company Limited and changed its name to Beyond Securities Public Company Limited in August 2021. Beyond Securities Public Company Limited was founded in 1971 and is based in Bangkok, Thailand.",,
KEX Express (Thailand) Public Company Limited,Industrials,Integrated Freight & Logistics,1822584448,"KEX Express (Thailand) Public Company Limited provides parcel delivery services in Thailand and internationally. It also provides delivery services to customers in the C2C, B2C, and B2B segments. The company was formerly known as Kerry Express (Thailand) Public Company Limited and changed its name to KEX Express (Thailand) Public Company Limited in July 2024. KEX Express (Thailand) Public Company Limited was founded in 2006 and is headquartered in Bangkok, Thailand. KEX Express (Thailand) Public Company Limited is a subsidiary of S.F. Holding Co., Ltd.",,
